,distance,name,popularity,rating,latitude,longitude,category
5,304,Underdog,0.9991145134108372,,53.343368,-6.27012,Beer Bar
6,340,Bad Bobs Temple Bar,0.9885172384244052,8.3,53.343368,-6.27012,Night Club
7,351,Irish Film Institute (IFI),0.9696649433002942,9.0,53.343368,-6.27012,Indie Movie Theater
8,364,The George,0.994744208632066,8.2,53.343368,-6.27012,Night Club
9,367,Five Guys,0.9836042160587277,7.7,53.343368,-6.27012,Burger Joint
0,152,Meet Me In The Morning,0.9746922220000571,8.4,53.334123,-6.265436,Coffee Shop
1,159,Devitt's Pub,0.9868605215801651,7.8,53.334123,-6.265436,Pub
2,160,Brother Hubbard South,0.9820331914650519,8.9,53.334123,-6.265436,Café
3,192,Odeon,0.9822902682167443,6.6,53.334123,-6.265436,Cocktail Bar
4,212,Keavan's Port (JD Wetherspoon),0.9841183695621126,,53.334123,-6.265436,Pub
5,216,Dicey's Garden,0.9920591847810563,7.4,53.334123,-6.265436,Night Club
6,274,Whelan's,0.9790625267788283,8.6,53.334123,-6.265436,Concert Hall
7,283,Doolally,0.9702076608872005,8.1,53.334123,-6.265436,Indian Restaurant
8,300,Alma.,0.979262475363478,8.7,53.334123,-6.265436,Café
9,322,Against the Grain,0.9810620126253249,8.7,53.334123,-6.265436,Beer Bar
0,97,Bread 41,0.989631237681739,8.2,53.344304,-6.250427,Bakery
1,179,Windjammer Bar The,0.9657802279413865,6.5,53.344304,-6.250427,Lounge
2,245,Kennedy's,0.971607300979748,7.6,53.344304,-6.250427,Lounge
3,277,The Ginger Man,0.9693793024650804,8.0,53.344304,-6.250427,Lounge
4,314,The Gallery Café,0.9814619097946242,8.4,53.344304,-6.250427,Café
5,341,Note,0.9628666914222057,,53.344304,-6.250427,Wine Bar
6,344,Coffeeangel,0.9888314433431403,9.0,53.344304,-6.250427,Coffee Shop
7,384,O'reilly's Bar & Restaurant,0.9894312890970893,7.5,53.344304,-6.250427,Pub
8,441,Shoe Lane Coffee,0.9894598531806107,9.0,53.344304,-6.250427,Café
9,479,KC Peaches,0.9924019537833129,7.0,53.344304,-6.250427,Restaurant
0,125,The Well,0.9883744180067983,6.8,53.338755,-6.262003,Bar
1,160,The Rolling Donut,0.9936302093747322,8.0,53.338755,-6.262003,Bagel Shop
2,206,Harry's on the Green,0.9852038047359251,6.1,53.338755,-6.262003,Cocktail Bar
3,260,Peter's Pub,0.9891456482618756,7.0,53.338755,-6.262003,Pub
4,292,Bruxelles,0.9904881601873804,7.6,53.338755,-6.262003,Lounge
5,293,Bunsen,0.9704361735553715,9.0,53.338755,-6.262003,Burger Joint
6,297,The Hairy Lemon,0.9914307749435859,7.9,53.338755,-6.262003,Lounge
7,299,Bunsen,0.9853180610700105,8.9,53.338755,-6.262003,Burger Joint
