,distance,name,review_count,rating,latitude,longitude,category
7,87.009909477499,Oscars Cafe Bar,75,3.5,53.349562,-6.278198,Bars
8,91.27028147058691,My Meat Wagon,111,4.0,53.349562,-6.278198,Barbeque
9,101.45862524816087,Zucconi,1,3.0,53.349562,-6.278198,Sushi Bars
10,110.20470575017315,Bel Cibo Citywest,33,3.5,53.349562,-6.278198,Italian
11,140.5244121977287,Generator Dublin,76,4.0,53.349562,-6.278198,Hostels
12,147.85356001019076,Cafe Sparks Smithfield,24,4.5,53.349562,-6.278198,Italian
13,151.29272871722682,Chopped,3,3.5,53.349562,-6.278198,Sandwiches
14,153.02856752959306,Cafe Oasis,23,4.5,53.349562,-6.278198,Cafes
15,156.92792148226087,Lavanda,5,4.5,53.349562,-6.278198,Modern European
16,172.38730878099335,Boojum,4,4.0,53.349562,-6.278198,Mexican
17,204.5411042487011,Third Space,139,4.5,53.349562,-6.278198,Irish
18,247.77081854682194,Bonobo,3,5.0,53.349562,-6.278198,Bars
19,248.92807477922435,Walshs,17,4.5,53.349562,-6.278198,Pubs
0,37.20068847169161,Dicey's Garden,104,2.5,53.336021,-6.26298,Bars
1,73.07207760852569,Copper Face Jacks,63,2.5,53.336021,-6.26298,Dance Clubs
2,78.24106694799882,Wishbone,33,4.5,53.336021,-6.26298,Chicken Wings
3,80.9386018268668,Bollywood Dining,3,2.0,53.336021,-6.26298,Indian
4,83.06756183575597,Golden Spice Indian Restaurant,1,2.0,53.336021,-6.26298,Food Delivery Services
5,83.06756183575597,Joe's Coffee,21,4.0,53.336021,-6.26298,Coffee & Tea
6,84.75678306786992,Club Chonradh na Gaeilge,9,4.0,53.336021,-6.26298,Pubs
7,86.86446673403069,Green Bench Café,101,5.0,53.336021,-6.26298,Salad
8,93.96454605289529,Di Luca,10,3.5,53.336021,-6.26298,Italian
9,101.41170059801095,Bagel Factory,2,4.5,53.336021,-6.26298,Breakfast & Brunch
10,110.0366682662981,Sophie's Bar,122,4.0,53.336021,-6.26298,Cocktail Bars
11,111.61423509433659,Sabor Brazil,8,4.5,53.336021,-6.26298,Brazilian
12,127.37109591140833,Gerry's Coffee Shop,49,4.5,53.336021,-6.26298,Breakfast & Brunch
13,136.008894991801,Camden Bites & Brews,4,3.5,53.336021,-6.26298,Breakfast & Brunch
14,141.3295097088815,Flannerys,30,3.0,53.336021,-6.26298,Pubs
15,141.58930334914416,Cafe Bliss,27,4.0,53.336021,-6.26298,Coffee & Tea
