,name,latitude,longitude,review_count,rating_avg,distance_avg,category
107,The Hairy Lemon,53.338755,-6.262003,,3.95,297.0,Lounge
108,Against the Grain,53.338755,-6.262003,,4.35,302.0,Beer Bar
109,Cafe En Seine,53.338755,-6.262003,,3.9,307.0,Night Club
110,Gerard's,53.347777,-6.244239,,3.75,141.0,Coffee Shop
113,Drunken Fish,53.347777,-6.244239,33.0,3.9,165.54983472242296,Korean
114,Windjammer Bar The,53.347777,-6.244239,,3.25,383.0,Lounge
115,Harbour Master Bar & Restaurant,53.347777,-6.244239,,2.95,390.0,Arts and Entertainment
116,MV Cill Airne,53.347777,-6.244239,,3.8,421.0,Bar
118,The Pig & Heifer,53.347777,-6.244239,,3.8,499.0,Café
119,The Brew Dock,53.347777,-6.244239,,4.2,516.0,Bar
120,Toners Pub,53.336074,-6.252825,38.0,4.05,191.4023835467728,Pubs
121,O'Donoghue's,53.336074,-6.252825,,4.3,264.0,Pub
122,KC Peaches,53.336074,-6.252825,,3.3,334.0,Coffee Shop
123,Viking Splash Tours,53.336074,-6.252825,,4.05,439.0,Tour Provider
124,TANG by Yogism,53.336074,-6.252825,,4.4,551.0,Café
125,37 Dawson Street,53.336074,-6.252825,,4.05,629.0,Bar
126,The Gallery Café,53.336074,-6.252825,,4.2,632.0,Café
127,Cafe En Seine,53.336074,-6.252825,,3.9,644.0,Night Club
131,Lower Deck The,53.330091,-6.268044,,3.15,199.0,Karaoke Bar
132,Grove Road,53.330091,-6.268044,56.0,4.375,236.29922124627518,Cafes
133,J O'Connell,53.330091,-6.268044,,4.25,254.0,Pub
134,Richmond,53.330091,-6.268044,37.0,4.4,250.7020992872467,Irish
135,The Portobello,53.330091,-6.268044,,3.0,261.0,Pub
136,Alma.,53.330091,-6.268044,,4.35,269.0,Café
137,Doolally,53.330091,-6.268044,,4.05,278.0,Indian Restaurant
138,Aoki Sushi,53.330091,-6.268044,,3.9,323.0,Sushi Restaurant
139,Brother Hubbard South,53.330091,-6.268044,,4.45,334.0,Café
140,Kingfisher Restaurant,53.350929,-6.265125,,4.15,147.0,Diner
141,Woolshed Baa & Grill,53.350929,-6.265125,,3.75,158.0,Sports Bar
